,dataset,model,accuracy,target_dataset,model_name,dataset_name,task_type,metric,batch_size,dataset_path,runtime,score
53,tweet_eval/offensive,DoyyingFace/bert-asian-hate-tweets-asian-unclean-freeze-4,0.8315789473684209,tweet_eval/offensive,DoyyingFace/bert-asian-hate-tweets-asian-unclean-freeze-4,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,18.20457172393799,0.6923915646292332
54,tweet_eval/offensive,connectivity/cola_6ep_ft-10,0.9000000000000002,tweet_eval/offensive,connectivity/cola_6ep_ft-10,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,21.28463768959045,0.5290861986902309
55,tweet_eval/offensive,Jeevesh8/lecun_feather_berts-3,0.9157894736842105,tweet_eval/offensive,Jeevesh8/lecun_feather_berts-3,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,18.99578619003296,0.6373923328608635
62,tweet_eval/offensive,anirudh21/bert-base-uncased-finetuned-qnli,0.9105263157894734,tweet_eval/offensive,anirudh21/bert-base-uncased-finetuned-qnli,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,20.34541344642639,0.5319125984863671
63,tweet_eval/offensive,distilbert-base-uncased,0.8894736842105262,tweet_eval/offensive,distilbert-base-uncased,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,11.566321849822998,0.7664535056522189
65,tweet_eval/offensive,connectivity/bert_ft_qqp-25,0.8526315789473681,tweet_eval/offensive,connectivity/bert_ft_qqp-25,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,20.77782511711121,0.5751402888124502
67,tweet_eval/offensive,bert-base-uncased,0.9421052631578947,tweet_eval/offensive,bert-base-uncased,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,18.62229633331299,0.558717020670889
68,tweet_eval/offensive,juliensimon/autonlp-imdb-demo-hf-16622767,0.9421052631578947,tweet_eval/offensive,juliensimon/autonlp-imdb-demo-hf-16622767,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,9.96968698501587,0.6651541805924007
70,tweet_eval/offensive,connectivity/feather_berts_28,0.8315789473684209,tweet_eval/offensive,connectivity/feather_berts_28,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,18.175981760025024,0.6675234730077386
71,tweet_eval/offensive,Jeevesh8/lecun_feather_berts-51,0.9000000000000002,tweet_eval/offensive,Jeevesh8/lecun_feather_berts-51,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,20.82530641555786,0.6507054516501849
85,tweet_eval/offensive,Jeevesh8/lecun_feather_berts-8,0.9157894736842105,tweet_eval/offensive,Jeevesh8/lecun_feather_berts-8,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,18.084826231002808,0.6220556849467317
87,tweet_eval/offensive,Jeevesh8/feather_berts_96,0.8105263157894737,tweet_eval/offensive,Jeevesh8/feather_berts_96,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,18.30405116081237,0.6732756297381844
90,tweet_eval/offensive,Jeevesh8/lecun_feather_berts-7,0.9631578947368419,tweet_eval/offensive,Jeevesh8/lecun_feather_berts-7,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,21.2727599143982,0.6549863390192443
97,tweet_eval/offensive,Hate-speech-CNERG/bert-base-uncased-hatexplain-rationale-two,0.857894736842105,tweet_eval/offensive,Hate-speech-CNERG/bert-base-uncased-hatexplain-rationale-two,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,18.237041473388672,0.8252969968236357
103,tweet_eval/offensive,Alassea/glue_sst_classifier,0.8526315789473681,tweet_eval/offensive,Alassea/glue_sst_classifier,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,19.09973430633545,0.7372085546508182
106,tweet_eval/offensive,joebobby/finetuning-sentiment-model-5000-samples3,0.8157894736842106,tweet_eval/offensive,joebobby/finetuning-sentiment-model-5000-samples3,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,20.638638257980347,0.6893006020875355
112,tweet_eval/offensive,Jeevesh8/feather_berts_92,0.9578947368421056,tweet_eval/offensive,Jeevesh8/feather_berts_92,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,18.202333450317383,0.6921353309968027
118,tweet_eval/offensive,ishan/bert-base-uncased-mnli,0.9315789473684214,tweet_eval/offensive,ishan/bert-base-uncased-mnli,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,21.421090364456177,0.7390731346658841
121,tweet_eval/offensive,bert-large-uncased,0.9473684210526316,tweet_eval/offensive,bert-large-uncased,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,56.71720981597901,0.6036930190265893
125,tweet_eval/offensive,anvay/finetuning-cardiffnlp-sentiment-model,0.863157894736842,tweet_eval/offensive,anvay/finetuning-cardiffnlp-sentiment-model,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,18.675316333770752,0.7326718125697529
131,tweet_eval/offensive,vaariis/distilbert-base-uncased-finetuned-emotion,0.8947368421052633,tweet_eval/offensive,vaariis/distilbert-base-uncased-finetuned-emotion,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,11.531370162963867,0.6829495643792014
133,tweet_eval/offensive,heranm/finetuning-sentiment-model-3000-samples,0.9315789473684214,tweet_eval/offensive,heranm/finetuning-sentiment-model-3000-samples,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,9.826889753341677,0.9107840555235039
135,tweet_eval/offensive,jasonyim2/distilbert-base-uncased-finetuned-emotion,0.8736842105263161,tweet_eval/offensive,jasonyim2/distilbert-base-uncased-finetuned-emotion,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,8.038673400878906,0.5607302368334734
136,tweet_eval/offensive,PrasunMishra/finetuning-sentiment-model-3000-samples,0.9421052631578947,tweet_eval/offensive,PrasunMishra/finetuning-sentiment-model-3000-samples,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,7.888236999511719,0.9059943059383203
140,tweet_eval/offensive,SetFit/distilbert-base-uncased__sst2__train-16-0,0.9263157894736844,tweet_eval/offensive,SetFit/distilbert-base-uncased__sst2__train-16-0,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,10.064888954162598,0.7744969622527328
141,tweet_eval/offensive,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,0.9368421052631576,tweet_eval/offensive,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,18.54642391204834,0.8737091891790882
142,tweet_eval/offensive,abdelkader/distilbert-base-uncased-finetuned-emotion,0.8263157894736839,tweet_eval/offensive,abdelkader/distilbert-base-uncased-finetuned-emotion,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,10.018707990646362,0.6156511973662023
144,tweet_eval/offensive,yukta10/finetuning-sentiment-model-3000-samples,0.9000000000000002,tweet_eval/offensive,yukta10/finetuning-sentiment-model-3000-samples,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,11.40730094909668,0.9408961382921444
146,tweet_eval/offensive,connectivity/cola_6ep_ft-33,0.9315789473684214,tweet_eval/offensive,connectivity/cola_6ep_ft-33,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,20.87228775024414,0.5066909317397562
149,tweet_eval/offensive,Jeevesh8/feather_berts_46,0.8421052631578949,tweet_eval/offensive,Jeevesh8/feather_berts_46,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,14.581343412399292,0.5989875099528197
151,tweet_eval/offensive,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,0.9052631578947364,tweet_eval/offensive,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,20.565948009490967,1.0100769888840022
156,tweet_eval/offensive,moghis/distilbert-base-uncased-finetuned-emotion,0.8894736842105262,tweet_eval/offensive,moghis/distilbert-base-uncased-finetuned-emotion,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,9.946726083755491,0.5684795589382916
157,tweet_eval/offensive,uygarkurt/distilbert-base-uncased-finetuned-emotion,0.9526315789473686,tweet_eval/offensive,uygarkurt/distilbert-base-uncased-finetuned-emotion,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,11.441406726837158,0.5827986517846988
160,tweet_eval/offensive,amyma21/sincere_question_classification,0.8842105263157892,tweet_eval/offensive,amyma21/sincere_question_classification,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,11.584851741790771,1.0100384865602579
162,tweet_eval/offensive,arianpasquali/distilbert-base-multilingual-cased-toxicity,0.7736842105263155,tweet_eval/offensive,arianpasquali/distilbert-base-multilingual-cased-toxicity,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,8.59316110610962,0.6902067373955918
166,tweet_eval/offensive,Anthos23/FS-distilroberta-fine-tuned,0.9000000000000002,tweet_eval/offensive,Anthos23/FS-distilroberta-fine-tuned,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,10.021835327148438,0.6866633158703579
167,tweet_eval/offensive,pietrotrope/emotion_final,0.9736842105263158,tweet_eval/offensive,pietrotrope/emotion_final,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,18.52236771583557,1.028630010061167
169,tweet_eval/offensive,SetFit/distilbert-base-uncased__sst2__train-32-9,0.9421052631578947,tweet_eval/offensive,SetFit/distilbert-base-uncased__sst2__train-32-9,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,9.851991176605225,0.7153956852152794
170,tweet_eval/offensive,usami/distilbert-base-uncased-finetuned-cola,0.9263157894736844,tweet_eval/offensive,usami/distilbert-base-uncased-finetuned-cola,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,10.092275857925417,0.5450819931656414
172,tweet_eval/offensive,aviator-neural/bert-base-uncased-sst2,0.8157894736842106,tweet_eval/offensive,aviator-neural/bert-base-uncased-sst2,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,20.87956213951111,0.5779499150769808
175,tweet_eval/offensive,connectivity/feather_berts_28,0.9052631578947364,tweet_eval/offensive,connectivity/feather_berts_28,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,18.175981760025024,0.6675234730077386
178,tweet_eval/offensive,markt23917/finetuning-sentiment-model-3000-samples,0.9421052631578947,tweet_eval/offensive,markt23917/finetuning-sentiment-model-3000-samples,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,10.125810146331789,0.9445883224882629
184,tweet_eval/offensive,aXhyra/demo_sentiment_31415,0.9578947368421056,tweet_eval/offensive,aXhyra/demo_sentiment_31415,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,11.666165590286257,1.1870133872764317
185,tweet_eval/offensive,anirudh21/bert-base-uncased-finetuned-qnli,0.9105263157894734,tweet_eval/offensive,anirudh21/bert-base-uncased-finetuned-qnli,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,20.34541344642639,0.5319125984863671
189,tweet_eval/offensive,aXhyra/presentation_sentiment_1234567,0.9315789473684214,tweet_eval/offensive,aXhyra/presentation_sentiment_1234567,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,8.072948932647705,1.235302629351976
192,tweet_eval/offensive,connectivity/cola_6ep_ft-10,0.9578947368421056,tweet_eval/offensive,connectivity/cola_6ep_ft-10,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,21.28463768959045,0.5290861986902309
193,tweet_eval/offensive,DoyyingFace/bert-asian-hate-tweets-asian-unclean-freeze-4,0.9421052631578947,tweet_eval/offensive,DoyyingFace/bert-asian-hate-tweets-asian-unclean-freeze-4,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,18.20457172393799,0.6923915646292332
194,tweet_eval/offensive,Jeevesh8/lecun_feather_berts-3,0.8789473684210523,tweet_eval/offensive,Jeevesh8/lecun_feather_berts-3,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,18.99578619003296,0.6373923328608635
195,tweet_eval/offensive,aXhyra/presentation_emotion_31415,0.8894736842105262,tweet_eval/offensive,aXhyra/presentation_emotion_31415,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,11.663867712020874,1.1517017515988572
196,tweet_eval/offensive,aXhyra/emotion_trained_31415,0.9473684210526316,tweet_eval/offensive,aXhyra/emotion_trained_31415,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,18.37942624092102,1.043163458693704
199,tweet_eval/offensive,connectivity/bert_ft_qqp-25,0.8526315789473681,tweet_eval/offensive,connectivity/bert_ft_qqp-25,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,20.77782511711121,0.5751402888124502
201,tweet_eval/offensive,JB173/distilbert-base-uncased-finetuned-emotion,0.8947368421052633,tweet_eval/offensive,JB173/distilbert-base-uncased-finetuned-emotion,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,9.883891344070436,0.708181165813668
202,tweet_eval/offensive,Jeevesh8/feather_berts_96,0.9000000000000002,tweet_eval/offensive,Jeevesh8/feather_berts_96,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,18.30405116081237,0.6732756297381844
206,tweet_eval/offensive,Jeevesh8/lecun_feather_berts-51,0.8842105263157892,tweet_eval/offensive,Jeevesh8/lecun_feather_berts-51,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,20.82530641555786,0.6507054516501849
214,tweet_eval/offensive,distilbert-base-uncased,0.9368421052631576,tweet_eval/offensive,distilbert-base-uncased,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,11.566321849822998,0.7664535056522189
217,tweet_eval/offensive,bert-base-uncased,0.9157894736842105,tweet_eval/offensive,bert-base-uncased,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,18.62229633331299,0.558717020670889
225,tweet_eval/offensive,juliensimon/autonlp-imdb-demo-hf-16622767,0.9421052631578947,tweet_eval/offensive,juliensimon/autonlp-imdb-demo-hf-16622767,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,9.96968698501587,0.6651541805924007
228,tweet_eval/offensive,Nanatan/distilbert-base-uncased-finetuned-emotion,0.8105263157894737,tweet_eval/offensive,Nanatan/distilbert-base-uncased-finetuned-emotion,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,10.026295900344849,0.596028814737712
229,tweet_eval/offensive,Alassea/glue_sst_classifier,0.8157894736842106,tweet_eval/offensive,Alassea/glue_sst_classifier,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,19.09973430633545,0.7372085546508182
232,tweet_eval/offensive,Jeevesh8/lecun_feather_berts-8,0.9000000000000002,tweet_eval/offensive,Jeevesh8/lecun_feather_berts-8,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,18.084826231002808,0.6220556849467317
234,tweet_eval/offensive,Jeevesh8/lecun_feather_berts-7,0.8421052631578949,tweet_eval/offensive,Jeevesh8/lecun_feather_berts-7,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,21.2727599143982,0.6549863390192443
236,tweet_eval/offensive,Hate-speech-CNERG/bert-base-uncased-hatexplain-rationale-two,0.9210526315789475,tweet_eval/offensive,Hate-speech-CNERG/bert-base-uncased-hatexplain-rationale-two,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,18.237041473388672,0.8252969968236357
239,tweet_eval/offensive,bert-large-uncased,0.9526315789473686,tweet_eval/offensive,bert-large-uncased,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,56.71720981597901,0.6036930190265893
248,tweet_eval/offensive,ishan/bert-base-uncased-mnli,0.9052631578947364,tweet_eval/offensive,ishan/bert-base-uncased-mnli,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,21.421090364456177,0.7390731346658841
250,tweet_eval/offensive,connectivity/bert_ft_qqp-96,0.8526315789473681,tweet_eval/offensive,connectivity/bert_ft_qqp-96,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,22.052338361740112,0.5113801606310125
265,tweet_eval/offensive,anvay/finetuning-cardiffnlp-sentiment-model,0.8684210526315791,tweet_eval/offensive,anvay/finetuning-cardiffnlp-sentiment-model,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,18.675316333770752,0.7326718125697529
267,tweet_eval/offensive,joebobby/finetuning-sentiment-model-5000-samples3,0.9052631578947364,tweet_eval/offensive,joebobby/finetuning-sentiment-model-5000-samples3,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,20.638638257980347,0.6893006020875355
268,tweet_eval/offensive,elozano/tweet_offensive_eval,0.9052631578947364,tweet_eval/offensive,elozano/tweet_offensive_eval,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,14.898250341415403,1.3569500963952394
270,tweet_eval/offensive,Jeevesh8/feather_berts_92,0.9157894736842105,tweet_eval/offensive,Jeevesh8/feather_berts_92,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,18.202333450317383,0.6921353309968027
3,tweet_eval/irony,heranm/finetuning-sentiment-model-3000-samples,0.673469387755102,tweet_eval/irony,heranm/finetuning-sentiment-model-3000-samples,irony,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,2.0117335319519043,0.535594941543508
7,tweet_eval/irony,dapang/distilroberta-base-mic-sym,0.8843537414965986,tweet_eval/irony,dapang/distilroberta-base-mic-sym,irony,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,2.6341817378997803,0.9378021806763555
8,tweet_eval/irony,PrasunMishra/finetuning-sentiment-model-3000-samples,0.6802721088435372,tweet_eval/irony,PrasunMishra/finetuning-sentiment-model-3000-samples,irony,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,2.038961410522461,0.5949144761159293
15,tweet_eval/irony,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,0.6564625850340133,tweet_eval/irony,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,irony,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,3.009962797164917,0.6213324524903064
17,tweet_eval/irony,connectivity/cola_6ep_ft-33,0.6360544217687075,tweet_eval/irony,connectivity/cola_6ep_ft-33,irony,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,3.7039663791656494,0.6040698164510588
19,tweet_eval/irony,Jeevesh8/feather_berts_46,0.7244897959183672,tweet_eval/irony,Jeevesh8/feather_berts_46,irony,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,3.775278806686402,0.6264336040767221
21,tweet_eval/irony,connectivity/cola_6ep_ft-22,0.6156462585034013,tweet_eval/irony,connectivity/cola_6ep_ft-22,irony,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,3.7903919219970703,0.6138751090510152
25,tweet_eval/irony,ncduy/roberta-imdb-sentiment-analysis,0.8027210884353742,tweet_eval/irony,ncduy/roberta-imdb-sentiment-analysis,irony,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,5.4036033153533936,0.6761276430239073
35,tweet_eval/irony,Anthos23/FS-distilroberta-fine-tuned,0.7755102040816324,tweet_eval/irony,Anthos23/FS-distilroberta-fine-tuned,irony,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,2.0635645389556885,0.5291054504880002
42,tweet_eval/irony,connectivity/feather_berts_28,0.7142857142857141,tweet_eval/irony,connectivity/feather_berts_28,irony,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,3.101177215576172,0.6553278967632504
47,tweet_eval/irony,markt23917/finetuning-sentiment-model-3000-samples,0.629251700680272,tweet_eval/irony,markt23917/finetuning-sentiment-model-3000-samples,irony,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,2.7078733444213867,0.5459430826833248
50,tweet_eval/irony,anirudh21/bert-base-uncased-finetuned-qnli,0.7448979591836734,tweet_eval/irony,anirudh21/bert-base-uncased-finetuned-qnli,irony,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,3.104206085205078,0.6531750033441218
53,tweet_eval/irony,aXhyra/demo_sentiment_31415,0.6428571428571427,tweet_eval/irony,aXhyra/demo_sentiment_31415,irony,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,2.3847198486328125,0.6909161334309388
55,tweet_eval/irony,aXhyra/presentation_sentiment_1234567,0.6598639455782314,tweet_eval/irony,aXhyra/presentation_sentiment_1234567,irony,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,2.041139841079712,0.6093482555232338
56,tweet_eval/irony,Alireza1044/albert-base-v2-qnli,0.554421768707483,tweet_eval/irony,Alireza1044/albert-base-v2-qnli,irony,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,3.5238656997680664,0.534667138651009
59,tweet_eval/irony,connectivity/cola_6ep_ft-10,0.6054421768707482,tweet_eval/irony,connectivity/cola_6ep_ft-10,irony,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,3.7422804832458496,0.6458660972871183
60,tweet_eval/irony,Jeevesh8/lecun_feather_berts-3,0.6428571428571427,tweet_eval/irony,Jeevesh8/lecun_feather_berts-3,irony,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,3.081350326538086,0.6765260154328613
70,tweet_eval/irony,Jeevesh8/lecun_feather_berts-51,0.6836734693877551,tweet_eval/irony,Jeevesh8/lecun_feather_berts-51,irony,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,3.0800859928131104,0.5907035536486587
72,tweet_eval/irony,vinai/bertweet-base,0.9149659863945575,tweet_eval/irony,vinai/bertweet-base,irony,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,2.8844637870788574,1.1586603091492533
74,tweet_eval/irony,bert-base-uncased,0.7176870748299317,tweet_eval/irony,bert-base-uncased,irony,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,3.5358786582946777,0.6637357617883429
75,tweet_eval/irony,roberta-base,0.9659863945578231,tweet_eval/irony,roberta-base,irony,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,3.722318172454834,0.6377662264239763
78,tweet_eval/irony,cardiffnlp/twitter-roberta-base-2021-124m,0.9829931972789113,tweet_eval/irony,cardiffnlp/twitter-roberta-base-2021-124m,irony,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,3.0282719135284424,1.4049787070214492
79,tweet_eval/irony,Alassea/glue_sst_classifier,0.6530612244897958,tweet_eval/irony,Alassea/glue_sst_classifier,irony,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,3.197558641433716,0.6143651416723357
84,tweet_eval/irony,Jeevesh8/lecun_feather_berts-8,0.7074829931972789,tweet_eval/irony,Jeevesh8/lecun_feather_berts-8,irony,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,3.5484838485717773,0.5809085337294249
90,tweet_eval/irony,boychaboy/MNLI_roberta-base,0.9081632653061223,tweet_eval/irony,boychaboy/MNLI_roberta-base,irony,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,3.126137018203736,0.9394080840658862
94,tweet_eval/irony,joebobby/finetuning-sentiment-model-5000-samples3,0.7176870748299317,tweet_eval/irony,joebobby/finetuning-sentiment-model-5000-samples3,irony,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,3.13136625289917,0.5088433642053405
96,tweet_eval/irony,Jeevesh8/feather_berts_92,0.7993197278911561,tweet_eval/irony,Jeevesh8/feather_berts_92,irony,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,5.3701112270355225,0.6606928061678148
102,tweet_eval/irony,heranm/finetuning-sentiment-model-3000-samples,0.6904761904761902,tweet_eval/irony,heranm/finetuning-sentiment-model-3000-samples,irony,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,2.0117335319519043,0.535594941543508
106,tweet_eval/irony,dapang/distilroberta-base-mic-sym,0.8027210884353742,tweet_eval/irony,dapang/distilroberta-base-mic-sym,irony,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,2.6341817378997803,0.9378021806763555
107,tweet_eval/irony,PrasunMishra/finetuning-sentiment-model-3000-samples,0.673469387755102,tweet_eval/irony,PrasunMishra/finetuning-sentiment-model-3000-samples,irony,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,2.038961410522461,0.5949144761159293
114,tweet_eval/irony,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,0.7346938775510203,tweet_eval/irony,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,irony,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,3.009962797164917,0.6213324524903064
116,tweet_eval/irony,connectivity/cola_6ep_ft-33,0.6394557823129251,tweet_eval/irony,connectivity/cola_6ep_ft-33,irony,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,3.7039663791656494,0.6040698164510588
118,tweet_eval/irony,Jeevesh8/feather_berts_46,0.7380952380952379,tweet_eval/irony,Jeevesh8/feather_berts_46,irony,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,3.775278806686402,0.6264336040767221
119,tweet_eval/irony,connectivity/cola_6ep_ft-22,0.6020408163265306,tweet_eval/irony,connectivity/cola_6ep_ft-22,irony,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,3.7903919219970703,0.6138751090510152
124,tweet_eval/irony,ncduy/roberta-imdb-sentiment-analysis,0.8095238095238093,tweet_eval/irony,ncduy/roberta-imdb-sentiment-analysis,irony,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,5.4036033153533936,0.6761276430239073
136,tweet_eval/irony,Anthos23/FS-distilroberta-fine-tuned,0.7755102040816324,tweet_eval/irony,Anthos23/FS-distilroberta-fine-tuned,irony,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,2.0635645389556885,0.5291054504880002
143,tweet_eval/irony,connectivity/feather_berts_28,0.7006802721088434,tweet_eval/irony,connectivity/feather_berts_28,irony,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,3.101177215576172,0.6553278967632504
149,tweet_eval/irony,markt23917/finetuning-sentiment-model-3000-samples,0.6224489795918364,tweet_eval/irony,markt23917/finetuning-sentiment-model-3000-samples,irony,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,2.7078733444213867,0.5459430826833248
153,tweet_eval/irony,anirudh21/bert-base-uncased-finetuned-qnli,0.7176870748299317,tweet_eval/irony,anirudh21/bert-base-uncased-finetuned-qnli,irony,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,3.104206085205078,0.6531750033441218
